 mm/dd/yyyy   hh:mm:ss       PrdM     Tv290C      C0S/m   Latitude  Longitude      DepSM      Sal00  Density00
 09/20/2019   16:27:48      0.394    12.2402   3.878167    0.00000    0.00000      0.391    33.5969  1025.4556
 09/20/2019   16:27:50      0.425    12.2399   3.878111    0.00000    0.00000      0.422    33.5966  1025.4555
 09/20/2019   16:27:52      0.426    12.2397   3.878128    0.00000    0.00000      0.423    33.5969  1025.4558
 09/20/2019   16:27:54      0.399    12.2414   3.877977    0.00000    0.00000      0.396    33.5940  1025.4532
 09/20/2019   16:27:56      0.402    12.2425   3.878050    0.00000    0.00000      0.399    33.5937  1025.4528
 09/20/2019   16:27:58      0.442    12.2436   3.878106    0.00000    0.00000      0.438    33.5932  1025.4524
 09/20/2019   16:28:00      0.384    12.2442   3.878194    0.00000    0.00000      0.381    33.5935  1025.4522
 09/20/2019   16:28:02      0.419    12.2466   3.878275    0.00000    0.00000      0.416    33.5922  1025.4508
 09/20/2019   16:28:04      0.415    12.2503   3.878503    0.00000    0.00000      0.412    33.5910  1025.4492
 09/20/2019   16:28:06      0.415    12.2532   3.878979    0.00000    0.00000      0.412    33.5930  1025.4502
 09/20/2019   16:28:08      0.419    12.2563   3.879524    0.00000    0.00000      0.415    33.5955  1025.4516
 09/20/2019   16:28:10      0.405    12.2600   3.879880    0.00000    0.00000      0.402    33.5956  1025.4509
 09/20/2019   16:28:12      0.403    12.2595   3.879941    0.00000    0.00000      0.400    33.5967  1025.4518
 09/20/2019   16:28:14      0.431    12.2619   3.880174    0.00000    0.00000      0.428    33.5967  1025.4515
 09/20/2019   16:28:16      0.393    12.2640   3.880300    0.00000    0.00000      0.390    33.5960  1025.4504
 09/20/2019   16:28:18      0.418    12.2638   3.880525    0.00000    0.00000      0.415    33.5985  1025.4525
 09/20/2019   16:28:20      0.403    12.2641   3.880685    0.00000    0.00000      0.400    33.5997  1025.4532
 09/20/2019   16:28:22      0.422    12.2656   3.880931    0.00000    0.00000      0.419    33.6007  1025.4539
 09/20/2019   16:28:24      0.414    12.2666   3.881116    0.00000    0.00000      0.411    33.6016  1025.4544
 09/20/2019   16:28:26      0.419    12.2673   3.881144    0.00000    0.00000      0.416    33.6013  1025.4540
 09/20/2019   16:28:28      0.404    12.2685   3.881151    0.00000    0.00000      0.401    33.6003  1025.4529
 09/20/2019   16:28:30      0.411    12.2676   3.881128    0.00000    0.00000      0.408    33.6008  1025.4535
