year,month,day,39N,38N
1990,2,21,0.481,-0.277
1990,2,22,0.465,-0.06
1990,2,23,-0.172,-0.273
1990,2,24,0.458,0.09
1990,2,25,0.677,0.303
1990,2,26,0.309,0.09
1990,2,27,0.529,0.229
1990,2,28,0.383,0.121
1990,3,1,0.315,-0.185
1990,3,2,-0.538,-0.483
1990,3,3,-0.202,-0.065
1990,3,4,1.021,0.458
1990,3,5,2.99,1.96
1990,3,6,1.95,0.888
1990,3,7,1.201,-0.169
1990,3,8,3.796,2.426
1990,3,9,1.68,0.896
1990,3,10,0.758,-0.218
1990,3,11,2.224,1.526
1990,3,12,1.989,0.903
1990,3,13,1.126,0.093
1990,3,14,0.055,-0.293
1990,3,15,-0.008,-0.518
1990,3,16,-0.122,-0.477
1990,3,17,-0.274,-0.335
1990,3,18,0.559,0.33
1990,3,19,0.719,-0.102
1990,3,20,0.261,-0.185
1990,3,21,0.079,-0.08
1990,3,22,0.529,0.117
1990,3,23,2.33,1.306
1990,3,24,2.419,1.338
1990,3,25,1.916,0.987
1990,3,26,2.263,1.129
1990,3,27,1.823,0.729
1990,3,28,1.065,0.184
1990,3,29,1.915,0.503
1990,3,30,1.045,0.052
1990,3,31,1.162,0.286
1990,4,1,1.348,0.444
1990,4,2,0.781,-0.026
1990,4,3,0.876,0.004
1990,4,4,0.476,0.006
1990,4,5,0.451,0.045
1990,4,6,0.139,0.021
1990,4,7,0.171,0.009
1990,4,8,0.055,0.237
1990,4,9,0.232,0.378
1990,4,10,-0.349,-0.086
1990,4,11,-0.265,0.039
1990,4,12,2.368,1.631
1990,4,13,1.553,0.668
1990,4,14,0.965,0.374
1990,4,15,0.323,0.141
1990,4,16,0.351,0.134
1990,4,17,1.474,0.824
1990,4,18,1.552,1.006
1990,4,19,0.328,0.137
1990,4,20,0.685,0.267
1990,4,21,2.358,1.21
1990,4,22,0.674,0.311
1990,4,23,1.262,0.619
1990,4,24,3.801,2.687
1990,4,25,2.752,1.515
1990,4,26,3.667,1.483
1990,4,27,2.511,1.27
1990,4,28,2.424,0.495
1990,4,29,4.483,2.37
1990,4,30,2.479,0.594
1990,5,1,0.724,-0.151
1990,5,2,2.489,0.778
